1,1,121.18,336.09,136.19,55.69,0.8704,-1,-1,-1
1,2,733.60,268.21,72.66,36.87,0.8041,-1,-1,-1
1,3,223.87,251.49,81.68,40.59,0.6422,-1,-1,-1
2,1,100.02,339.27,141.16,57.91,0.8594,-1,-1,-1
2,2,723.11,269.99,71.35,36.81,0.8170,-1,-1,-1
2,3,222.91,251.08,80.56,41.20,0.6795,-1,-1,-1
3,1,77.56,342.28,143.78,58.89,0.8541,-1,-1,-1
3,2,709.69,272.02,73.71,37.11,0.7888,-1,-1,-1
3,3,223.05,251.55,80.73,41.20,0.7285,-1,-1,-1
4,1,51.23,345.51,147.53,60.43,0.8538,-1,-1,-1
4,2,695.17,272.99,75.47,38.13,0.7994,-1,-1,-1
4,3,222.06,252.09,81.66,41.02,0.7477,-1,-1,-1
5,1,24.13,347.78,150.50,62.91,0.8640,-1,-1,-1
5,2,680.16,275.38,76.92,38.24,0.7846,-1,-1,-1
5,3,218.45,251.71,84.32,41.13,0.7643,-1,-1,-1
6,1,1.51,352.93,149.57,63.58,0.8469,-1,-1,-1
6,2,666.43,276.80,77.45,39.82,0.8160,-1,-1,-1
6,3,215.12,251.97,88.11,41.28,0.7502,-1,-1,-1
7,1,0.00,356.26,128.39,65.35,0.8644,-1,-1,-1
7,2,650.62,279.44,79.83,39.75,0.8278,-1,-1,-1
7,3,214.47,252.22,89.24,41.14,0.7744,-1,-1,-1
8,1,0.00,361.03,104.75,66.42,0.8248,-1,-1,-1
8,2,635.94,280.95,81.57,40.58,0.8423,-1,-1,-1
8,3,213.44,252.46,90.11,40.99,0.8021,-1,-1,-1
9,1,0.00,365.99,81.03,59.48,0.8245,-1,-1,-1
9,2,621.49,282.76,82.80,41.42,0.8416,-1,-1,-1
9,3,213.12,252.64,90.02,40.93,0.7972,-1,-1,-1
10,1,0.00,369.63,54.11,56.04,0.7872,-1,-1,-1
10,2,605.17,284.94,84.28,41.79,0.8471,-1,-1,-1
10,3,211.39,252.37,90.57,40.93,0.8050,-1,-1,-1
11,1,0.00,377.09,29.30,52.82,0.4219,-1,-1,-1
11,2,590.30,287.30,85.92,41.84,0.8319,-1,-1,-1
11,3,210.66,252.79,92.65,40.81,0.8095,-1,-1,-1
12,2,576.48,288.83,85.70,42.68,0.6327,-1,-1,-1
12,3,208.90,252.50,94.42,41.03,0.7844,-1,-1,-1
13,2,559.96,290.30,87.94,43.11,0.7846,-1,-1,-1
13,3,208.95,253.09,94.61,40.59,0.7541,-1,-1,-1
